DNN,CNN,ResNet,MobileNet
street,sea,sea,sea
forest,forest,forest,forest
sea,buildings,mountain,buildings
glacier,glacier,glacier,glacier
forest,forest,sea,forest
street,street,street,street
street,street,street,street
street,buildings,street,street
street,street,street,street
sea,buildings,forest,buildings
sea,sea,sea,sea
glacier,glacier,glacier,glacier
mountain,mountain,mountain,mountain
sea,sea,sea,sea
sea,forest,forest,forest
buildings,buildings,buildings,buildings
mountain,mountain,mountain,mountain
sea,street,mountain,buildings
sea,sea,sea,sea
mountain,mountain,mountain,mountain
sea,forest,forest,forest
glacier,glacier,glacier,glacier
sea,sea,sea,sea
forest,forest,forest,forest
sea,sea,sea,sea
street,street,street,street
street,buildings,street,street
street,street,street,street
street,buildings,glacier,buildings
street,street,street,street
sea,mountain,glacier,glacier
sea,forest,forest,forest
street,forest,forest,forest
buildings,buildings,buildings,buildings
street,forest,forest,forest
street,buildings,street,buildings
street,glacier,mountain,glacier
street,glacier,glacier,glacier
sea,mountain,mountain,mountain
sea,sea,sea,sea
street,street,street,street
mountain,mountain,sea,sea
mountain,mountain,mountain,glacier
sea,mountain,mountain,mountain
buildings,buildings,buildings,buildings
sea,glacier,glacier,glacier
sea,sea,sea,sea
street,forest,forest,forest
sea,buildings,street,street
sea,buildings,glacier,street
forest,forest,forest,forest
sea,buildings,buildings,buildings
mountain,mountain,mountain,mountain
street,street,street,street
forest,forest,forest,forest
sea,mountain,mountain,mountain
mountain,glacier,mountain,glacier
street,forest,forest,forest
sea,mountain,mountain,mountain
sea,buildings,street,buildings
glacier,glacier,glacier,glacier
sea,sea,mountain,mountain
sea,buildings,street,street
sea,forest,forest,forest
buildings,buildings,buildings,buildings
buildings,buildings,buildings,buildings
sea,glacier,glacier,glacier
forest,forest,forest,forest
mountain,mountain,glacier,mountain
street,mountain,mountain,mountain
glacier,glacier,glacier,glacier
street,street,street,street
mountain,mountain,mountain,mountain
forest,forest,forest,forest
forest,forest,forest,forest
sea,mountain,mountain,mountain
forest,forest,forest,forest
sea,sea,mountain,mountain
mountain,buildings,sea,buildings
sea,sea,sea,sea
sea,sea,sea,sea
street,sea,sea,mountain
sea,sea,sea,sea
street,street,street,street
sea,glacier,sea,glacier
buildings,buildings,street,street
street,street,street,street
mountain,mountain,glacier,mountain
sea,mountain,mountain,mountain
forest,forest,forest,forest
forest,forest,forest,forest
mountain,mountain,mountain,mountain
forest,forest,forest,forest
street,glacier,glacier,glacier
mountain,mountain,mountain,mountain
mountain,mountain,mountain,mountain
forest,forest,forest,forest
sea,glacier,glacier,glacier
street,glacier,mountain,glacier
sea,glacier,glacier,glacier
sea,glacier,glacier,glacier
sea,mountain,mountain,mountain
street,buildings,sea,buildings
glacier,mountain,glacier,glacier
street,street,street,street
sea,sea,sea,sea
buildings,forest,forest,forest
forest,forest,forest,forest
street,sea,sea,sea
buildings,buildings,street,buildings
sea,mountain,mountain,mountain
buildings,forest,forest,forest
street,glacier,glacier,glacier
glacier,buildings,buildings,buildings
glacier,glacier,glacier,glacier
sea,buildings,street,buildings
sea,mountain,mountain,mountain
glacier,mountain,glacier,glacier
forest,forest,forest,forest
sea,sea,sea,sea
glacier,glacier,glacier,glacier
street,street,street,street
sea,buildings,glacier,glacier
street,street,street,street
sea,mountain,mountain,mountain
mountain,mountain,mountain,mountain
sea,mountain,mountain,glacier
glacier,glacier,glacier,glacier
forest,forest,forest,forest
street,street,street,street
sea,sea,sea,sea
sea,buildings,buildings,buildings
sea,glacier,glacier,glacier
street,forest,forest,street
buildings,sea,sea,sea
sea,mountain,mountain,buildings
forest,forest,forest,forest
sea,sea,sea,sea
mountain,mountain,glacier,mountain
street,glacier,glacier,glacier
mountain,mountain,mountain,mountain
mountain,mountain,mountain,mountain
street,forest,forest,forest
sea,forest,forest,forest
street,mountain,forest,forest
forest,forest,forest,forest
glacier,sea,glacier,mountain
forest,forest,forest,forest
sea,sea,sea,sea
sea,mountain,mountain,mountain
sea,mountain,sea,glacier
street,buildings,street,street
forest,street,street,street
sea,glacier,mountain,glacier
forest,buildings,street,street
sea,glacier,glacier,glacier
buildings,buildings,buildings,buildings
street,glacier,glacier,glacier
street,buildings,buildings,buildings
forest,forest,forest,forest
sea,glacier,glacier,glacier
street,buildings,glacier,buildings
forest,forest,forest,forest
street,sea,sea,sea
sea,buildings,buildings,street
sea,glacier,mountain,glacier
sea,buildings,buildings,buildings
street,forest,forest,forest
forest,forest,forest,forest
street,buildings,buildings,buildings
street,street,street,street
sea,sea,sea,sea
street,street,street,street
street,glacier,glacier,glacier
sea,sea,sea,sea
street,buildings,buildings,buildings
sea,mountain,mountain,mountain
sea,mountain,glacier,mountain
forest,forest,forest,forest
sea,sea,sea,sea
street,street,street,street
mountain,mountain,mountain,mountain
street,buildings,buildings,buildings
sea,glacier,glacier,glacier
sea,glacier,glacier,glacier
sea,street,street,street
